title,genre,developer,critic_score,total_sales,release_date
Crash Bash,Misc,Eurocom Entertainment Software,6.8,3.39,2000-11-06
Final Fantasy XIII-2,Role-Playing,Square Enix,8.100000000000001,3.39,2012-01-31
Need for Speed: The Run,Racing,EA Black Box,5.9,3.38,2011-11-15
Band Hero,Misc,Vicarious Visions,6.9799999999999995,3.38,2009-11-03
Pure,Racing,Black Rock Studio,7.65,3.3600000000000003,2008-09-16
NCAA Football 07,Sports,EA Sports,8.325,3.36,2006-07-18
X-Men Legends,Role-Playing,Raven Software,8.466666666666667,3.36,2004-09-21
PES 2009: Pro Evolution Soccer,Sports,Konami,7.8,3.36,2008-11-11
Just Cause 2,Action,Avalanche Studios,8.15,3.35,2010-03-23
Burnout Paradise,Racing,Criterion Games,8.95,3.3,2008-01-22
Rage,Shooter,id Software,7.866666666666667,3.29,2011-10-04
Dead Space 2,Shooter,Visceral Games,9.0,3.27,2011-01-25
The SpongeBob SquarePants Movie,Platform,Heavy Iron Studios,6.5,3.24,2004-10-27
007: Tomorrow Never Dies,Shooter,Black Ops Entertainment,6.2,3.21,1999-11-16
WWF SmackDown! 2: Know Your Role,Fighting,Yuke's,8.7,3.2,2000-11-21
SpongeBob SquarePants: Battle for Bikini Bottom,Platform,Heavy Iron Studios,6.6000000000000005,3.19,2003-10-31
Assassin's Creed Odyssey,Action-Adventure,Ubisoft Quebec,9.5,3.18,2018-10-05
Rocksmith 2014,Music,Ubisoft San Francisco,8.875,3.17,2013-10-22
Madden NFL 08,Sports,EA Tiburon,7.866666666666666,3.16,2007-08-14
Just Cause 3,Action-Adventure,Avalanche Studios,7.366666666666667,3.15,2015-12-01
Cars 2,Racing,Avalanche Software,7.375,3.15,2011-06-21
Club Penguin: Elite Penguin Force,Adventure,1st Playable Productions,7.0,3.14,2008-11-25
The Sims 2: Pets,Simulation,Maxis,5.833333333333333,3.1399999999999997,2006-10-31
FIFA Soccer 08,Sports,EA Canada,8.2,3.1,2007-10-09
DJ Hero,Misc,FreeStyleGames,8.45,3.0900000000000003,2009-10-27
Pro Evolution Soccer 2011,Sports,Konami,6.0,3.08,2010-10-05
Mafia II,Action,Illusion Softworks,7.1,3.05,2010-08-24
Kung Fu Panda,Platform,Luxoflux,7.5,3.05,2008-06-03
The Orange Box,Shooter,Valve Software,9.366666666666665,3.0300000000000002,2007-10-10
Rayman,Platform,Ubisoft Montpellier,7.0,3.03,1995-09-01
Tom Clancy's Splinter Cell,Action,Ubisoft,9.3,3.02,2002-11-17
The Simpsons Game,Platform,EA Redwood Shores,6.8,3.0100000000000002,2007-11-05
WWE SmackDown! vs. Raw 2006,Fighting,Yuke's,8.4,3.0,2005-11-15
Call of Duty 2: Big Red One,Shooter,Treyarch,8.0,3.0,2005-11-01
2010 FIFA World Cup South Africa,Sports,EA Canada,7.55,2.9699999999999998,2010-04-27
UFC Undisputed 2010,Fighting,Yuke's Future Media Creators,8.233333333333333,2.95,2010-05-25
WWE SmackDown vs. Raw 2010,Fighting,JAKKS Pacific,8.033333333333333,2.94,2009-10-20
Need for Speed: Payback,Racing,Ghost Games,6.066666666666666,2.93,2017-11-10
Devil May Cry 4,Action,Capcom,8.35,2.92,2008-02-05
Fight Night Round 4,Fighting,EA Canada,8.649999999999999,2.92,2009-06-23
Grand Theft Auto: San Andreas,Action,Rockstar North,9.3,2.92,2005-06-07
Mortal Kombat: Deadly Alliance,Fighting,Midway,8.399999999999999,2.9000000000000004,2002-11-16
Cooking Mama: Cook Off,Simulation,Office Create,5.9,2.89,2007-03-20
Colin McRae Rally,Racing,Codemasters,7.9,2.87,2000-01-31
Imagine: Babyz,Simulation,Visual Impact,3.5,2.87,2007-10-23
Dead Rising 2,Action,Blue Castle Games,8.149999999999999,2.8600000000000003,2010-09-28
The Elder Scrolls III: Morrowind,Role-Playing,Bethesda Softworks,8.45,2.86,2002-06-06
Tomb Raider: Underworld,Adventure,Crystal Dynamics,7.4,2.86,2008-11-18
Gran Turismo (PSP),Racing,Polyphony Digital,7.8,2.82,2009-10-01
Finding Nemo,Platform,Vicarious Visions,7.0,2.82,2003-05-10
